time,von,bis,Power (MW),,,,,,,,,
2017/01/01,0:00,0:15,-503,,,,,,,,,
2017/01/01,0:15,0:30,-577,,,,,,,,,
2017/01/01,0:30,0:45,-563,,,,,,,,,
2017/01/01,0:45,1:00,-627,,,,,,,,,
2017/01/01,1:00,1:15,-642,,,,,,,,,
2017/01/01,1:15,1:30,-615,,,,,,,,,
2017/01/01,1:30,1:45,-593,,,,,,,,,
2017/01/01,1:45,2:00,-593,,,,,,,,,
2017/01/01,2:00,2:15,-191,,,,,,,,,
2017/01/01,2:15,2:30,-234,,,,,,,,,
2017/01/01,2:30,2:45,-419,,,,,,,,,
2017/01/01,2:45,3:00,-459,,,,,,,,,
2017/01/01,3:00,3:15,-458,,,,,,,,,
2017/01/01,3:15,3:30,-484,,,,,,,,,
2017/01/01,3:30,3:45,-619,,,,,,,,,
2017/01/01,3:45,4:00,-596,,,,,,,,,
2017/01/01,4:00,4:15,-363,,,,,,,,,
2017/01/01,4:15,4:30,-393,,,,,,,,,
2017/01/01,4:30,4:45,-387,,,,,,,,,
2017/01/01,4:45,5:00,-428,,,,,,,,,
2017/01/01,5:00,5:15,-392,,,,,,,,,
2017/01/01,5:15,5:30,-489,,,,,,,,,
2017/01/01,5:30,5:45,-593,,,,,,,,,
2017/01/01,5:45,6:00,-718,,,,,,,,,
2017/01/01,6:00,6:15,-772,,,,,,,,,
2017/01/01,6:15,6:30,-633,,,,,,,,,
2017/01/01,6:30,6:45,-666,,,,,,,,,
2017/01/01,6:45,7:00,-735,,,,,,,,,
2017/01/01,7:00,7:15,-712,,,,,,,,,
2017/01/01,7:15,7:30,-831,,,,,,,,,
2017/01/01,7:30,7:45,-860,,,,,,,,,
2017/01/01,7:45,8:00,-928,,,,,,,,,
2017/01/01,8:00,8:15,-1062,,,,,,,,,
2017/01/01,8:15,8:30,-1166,,,,,,,,,
2017/01/01,8:30,8:45,-1133,,,,,,,,,
2017/01/01,8:45,9:00,-816,,,,,,,,,
2017/01/01,9:00,9:15,-444,,,,,,,,,
2017/01/01,9:15,9:30,-357,,,,,,,,,
2017/01/01,9:30,9:45,-267,,,,,,,,,
2017/01/01,9:45,10:00,-115,,,,,,,,,
2017/01/01,10:00,10:15,-54,,,,,,,,,
2017/01/01,10:15,10:30,231,,,,,,,,,
2017/01/01,10:30,10:45,192,,,,,,,,,
2017/01/01,10:45,11:00,85,,,,,,,,,
2017/01/01,11:00,11:15,-246,,,,,,,,,
2017/01/01,11:15,11:30,-201,,,,,,,,,
2017/01/01,11:30,11:45,-152,,,,,,,,,
2017/01/01,11:45,12:00,13,,,,,,,,,
2017/01/01,12:00,12:15,-139,,,,,,,,,
2017/01/01,12:15,12:30,-154,,,,,,,,,
2017/01/01,12:30,12:45,-198,,,,,,,,,
2017/01/01,12:45,13:00,-305,,,,,,,,,
2017/01/01,13:00,13:15,-234,,,,,,,,,
2017/01/01,13:15,13:30,-206,,,,,,,,,
2017/01/01,13:30,13:45,-10,,,,,,,,,
2017/01/01,13:45,14:00,147,,,,,,,,,
2017/01/01,14:00,14:15,350,,,,,,,,,
2017/01/01,14:15,14:30,396,,,,,,,,,
2017/01/01,14:30,14:45,485,,,,,,,,,
2017/01/01,14:45,15:00,582,,,,,,,,,
2017/01/01,15:00,15:15,248,,,,,,,,,
2017/01/01,15:15,15:30,308,,,,,,,,,
2017/01/01,15:30,15:45,11,,,,,,,,,
2017/01/01,15:45,16:00,-13,,,,,,,,,
2017/01/01,16:00,16:15,-161,,,,,,,,,
2017/01/01,16:15,16:30,-230,,,,,,,,,
2017/01/01,16:30,16:45,-236,,,,,,,,,
2017/01/01,16:45,17:00,-164,,,,,,,,,
2017/01/01,17:00,17:15,-183,,,,,,,,,
2017/01/01,17:15,17:30,-6,,,,,,,,,
2017/01/01,17:30,17:45,6,,,,,,,,,
2017/01/01,17:45,18:00,12,,,,,,,,,
2017/01/01,18:00,18:15,37,,,,,,,,,
2017/01/01,18:15,18:30,-5,,,,,,,,,
2017/01/01,18:30,18:45,84,,,,,,,,,
2017/01/01,18:45,19:00,201,,,,,,,,,
2017/01/01,19:00,19:15,196,,,,,,,,,
2017/01/01,19:15,19:30,34,,,,,,,,,
2017/01/01,19:30,19:45,-207,,,,,,,,,
2017/01/01,19:45,20:00,-420,,,,,,,,,
2017/01/01,20:00,20:15,-147,,,,,,,,,
2017/01/01,20:15,20:30,-294,,,,,,,,,
2017/01/01,20:30,20:45,-521,,,,,,,,,
2017/01/01,20:45,21:00,-519,,,,,,,,,
2017/01/01,21:00,21:15,-543,,,,,,,,,
2017/01/01,21:15,21:30,-603,,,,,,,,,
2017/01/01,21:30,21:45,-740,,,,,,,,,
2017/01/01,21:45,22:00,-672,,,,,,,,,
2017/01/01,22:00,22:15,-369,,,,,,,,,
2017/01/01,22:15,22:30,-364,,,,,,,,,
2017/01/01,22:30,22:45,-201,,,,,,,,,
2017/01/01,22:45,23:00,-95,,,,,,,,,
2017/01/01,23:00,23:15,-286,,,,,,,,,
2017/01/01,23:15,23:30,-43,,,,,,,,,
2017/01/01,23:30,23:45,24,,,,,,,,,
2017/01/01,23:45,0:00,18,,,,,,,,,
2017/01/02,00:00,0:15,592,,,,,,,,,
2017/01/02,0:15,0:30,55,,,,,,,,,
2017/01/02,0:30,0:45,-82,,,,,,,,,
2017/01/02,0:45,1:00,-351,,,,,,,,,
2017/01/02,1:00,1:15,97,,,,,,,,,
2017/01/02,1:15,1:30,173,,,,,,,,,
2017/01/02,1:30,1:45,-52,,,,,,,,,
2017/01/02,1:45,2:00,-232,,,,,,,,,
2017/01/02,2:00,2:15,131,,,,,,,,,
2017/01/02,2:15,2:30,-31,,,,,,,,,
2017/01/02,2:30,2:45,-133,,,,,,,,,
2017/01/02,2:45,3:00,-225,,,,,,,,,
2017/01/02,3:00,3:15,-410,,,,,,,,,
2017/01/02,3:15,3:30,-423,,,,,,,,,
2017/01/02,3:30,3:45,-452,,,,,,,,,
2017/01/02,3:45,4:00,-485,,,,,,,,,
2017/01/02,4:00,4:15,-513,,,,,,,,,
2017/01/02,4:15,4:30,-353,,,,,,,,,
2017/01/02,4:30,4:45,-413,,,,,,,,,
2017/01/02,4:45,5:00,-502,,,,,,,,,
2017/01/02,5:00,5:15,-681,,,,,,,,,
2017/01/02,5:15,5:30,-654,,,,,,,,,
2017/01/02,5:30,5:45,-588,,,,,,,,,
2017/01/02,5:45,6:00,-585,,,,,,,,,
2017/01/02,6:00,6:15,-359,,,,,,,,,
2017/01/02,6:15,6:30,-213,,,,,,,,,
2017/01/02,6:30,6:45,-196,,,,,,,,,
2017/01/02,6:45,7:00,-305,,,,,,,,,
2017/01/02,7:00,7:15,-320,,,,,,,,,
2017/01/02,7:15,7:30,-481,,,,,,,,,
2017/01/02,7:30,7:45,-269,,,,,,,,,
2017/01/02,7:45,8:00,-120,,,,,,,,,
2017/01/02,8:00,8:15,368,,,,,,,,,
2017/01/02,8:15,8:30,153,,,,,,,,,
2017/01/02,8:30,8:45,315,,,,,,,,,
2017/01/02,8:45,9:00,366,,,,,,,,,
2017/01/02,9:00,9:15,341,,,,,,,,,
2017/01/02,9:15,9:30,352,,,,,,,,,
2017/01/02,9:30,9:45,426,,,,,,,,,
2017/01/02,9:45,10:00,551,,,,,,,,,
2017/01/02,10:00,10:15,161,,,,,,,,,
2017/01/02,10:15,10:30,319,,,,,,,,,
2017/01/02,10:30,10:45,436,,,,,,,,,
2017/01/02,10:45,11:00,433,,,,,,,,,
2017/01/02,11:00,11:15,160,,,,,,,,,
2017/01/02,11:15,11:30,278,,,,,,,,,
2017/01/02,11:30,11:45,84,,,,,,,,,
2017/01/02,11:45,12:00,61,,,,,,,,,
2017/01/02,12:00,12:15,442,,,,,,,,,
2017/01/02,12:15,12:30,353,,,,,,,,,
2017/01/02,12:30,12:45,368,,,,,,,,,
2017/01/02,12:45,13:00,135,,,,,,,,,
2017/01/02,13:00,13:15,319,,,,,,,,,
2017/01/02,13:15,13:30,79,,,,,,,,,
2017/01/02,13:30,13:45,151,,,,,,,,,
2017/01/02,13:45,14:00,222,,,,,,,,,
2017/01/02,14:00,14:15,421,,,,,,,,,
2017/01/02,14:15,14:30,361,,,,,,,,,
2017/01/02,14:30,14:45,504,,,,,,,,,
2017/01/02,14:45,15:00,472,,,,,,,,,
2017/01/02,15:00,15:15,709,,,,,,,,,
2017/01/02,15:15,15:30,656,,,,,,,,,
2017/01/02,15:30,15:45,558,,,,,,,,,
2017/01/02,15:45,16:00,346,,,,,,,,,
2017/01/02,16:00,16:15,37,,,,,,,,,
2017/01/02,16:15,16:30,-108,,,,,,,,,
2017/01/02,16:30,16:45,-14,,,,,,,,,
2017/01/02,16:45,17:00,214,,,,,,,,,
2017/01/02,17:00,17:15,138,,,,,,,,,
2017/01/02,17:15,17:30,53,,,,,,,,,
2017/01/02,17:30,17:45,-21,,,,,,,,,
2017/01/02,17:45,18:00,33,,,,,,,,,
2017/01/02,18:00,18:15,241,,,,,,,,,
2017/01/02,18:15,18:30,35,,,,,,,,,
2017/01/02,18:30,18:45,-190,,,,,,,,,
2017/01/02,18:45,19:00,-284,,,,,,,,,
2017/01/02,19:00,19:15,367,,,,,,,,,
2017/01/02,19:15,19:30,151,,,,,,,,,
2017/01/02,19:30,19:45,279,,,,,,,,,
2017/01/02,19:45,20:00,380,,,,,,,,,
2017/01/02,20:00,20:15,252,,,,,,,,,
2017/01/02,20:15,20:30,140,,,,,,,,,
2017/01/02,20:30,20:45,222,,,,,,,,,
2017/01/02,20:45,21:00,34,,,,,,,,,
2017/01/02,21:00,21:15,-229,,,,,,,,,
2017/01/02,21:15,21:30,-83,,,,,,,,,
2017/01/02,21:30,21:45,14,,,,,,,,,
2017/01/02,21:45,22:00,50,,,,,,,,,
2017/01/02,22:00,22:15,-78,,,,,,,,,
2017/01/02,22:15,22:30,37,,,,,,,,,
2017/01/02,22:30,22:45,141,,,,,,,,,
2017/01/02,22:45,23:00,-113,,,,,,,,,
2017/01/02,23:00,23:15,-613,,,,,,,,,
2017/01/02,23:15,23:30,-513,,,,,,,,,
2017/01/02,23:30,23:45,-473,,,,,,,,,
2017/01/02,23:45,0:00,-539,,,,,,,,,
2017/01/03,00:00,0:15,-872,,,,,,,,,
2017/01/03,0:15,0:30,-621,,,,,,,,,
2017/01/03,0:30,0:45,-355,,,,,,,,,
2017/01/03,0:45,1:00,-306,,,,,,,,,
2017/01/03,1:00,1:15,-153,,,,,,,,,
2017/01/03,1:15,1:30,-133,,,,,,,,,
2017/01/03,1:30,1:45,-154,,,,,,,,,
2017/01/03,1:45,2:00,-96,,,,,,,,,
2017/01/03,2:00,2:15,-167,,,,,,,,,
2017/01/03,2:15,2:30,-234,,,,,,,,,
2017/01/03,2:30,2:45,-315,,,,,,,,,
2017/01/03,2:45,3:00,-458,,,,,,,,,
2017/01/03,3:00,3:15,-309,,,,,,,,,
2017/01/03,3:15,3:30,-484,,,,,,,,,
2017/01/03,3:30,3:45,-352,,,,,,,,,
2017/01/03,3:45,4:00,-511,,,,,,,,,
2017/01/03,4:00,4:15,-589,,,,,,,,,
