date ,load
 01/01  01:00:00,4.248018768
 01/01  02:00:00,4.681088169
 01/01  03:00:00,4.248018768
 01/01  04:00:00,4.681071524
 01/01  05:00:00,4.681089155
 01/01  06:00:00,4.248018768
 01/01  07:00:00,4.681082116
 01/01  08:00:00,2.378100902
 01/01  09:00:00,1.945018768
 01/01  10:00:00,2.378095938
 01/01  11:00:00,1.945018768
 01/01  12:00:00,2.378103117
 01/01  13:00:00,2.378095746
 01/01  14:00:00,1.945018768
 01/01  15:00:00,2.378099249
 01/01  16:00:00,2.378097753
 01/01  17:00:00,2.328852102
 01/01  18:00:00,4.681104162
 01/01  19:00:00,4.681085535
 01/01  20:00:00,4.248018768
 01/01  21:00:00,4.681103076
 01/01  22:00:00,4.681098324
 01/01  23:00:00,4.248018768
 01/01  24:00:00,4.681079182
 01/02  01:00:00,4.798024131
 01/02  02:00:00,5.231106604
 01/02  03:00:00,5.231094634
 01/02  04:00:00,4.798024131
 01/02  05:00:00,5.231082631
 01/02  06:00:00,5.506118449
 01/02  07:00:00,8.746597887
 01/02  08:00:00,9.629939159
 01/02  09:00:00,12.26483661
 01/02  10:00:00,12.24407877
 01/02  11:00:00,12.2440942
 01/02  12:00:00,12.24410512
 01/02  13:00:00,11.72348338
 01/02  14:00:00,12.25610428
 01/02  15:00:00,12.24406268
 01/02  16:00:00,12.24408381
 01/02  17:00:00,12.62791241
 01/02  18:00:00,10.31009242
 01/02  19:00:00,8.575102951
 01/02  20:00:00,8.496956081
 01/02  21:00:00,7.52421235
 01/02  22:00:00,8.048325013
 01/02  23:00:00,5.506106772
 01/02  24:00:00,4.798024131
 01/03  01:00:00,5.231092121
 01/03  02:00:00,5.231080128
 01/03  03:00:00,4.798024131
 01/03  04:00:00,5.231102963
 01/03  05:00:00,4.798024131
 01/03  06:00:00,5.506096182
 01/03  07:00:00,7.771300619
 01/03  08:00:00,7.630651467
 01/03  09:00:00,11.85158187
 01/03  10:00:00,12.26828571
 01/03  11:00:00,12.40126937
 01/03  12:00:00,12.47636274
 01/03  13:00:00,12.35504847
 01/03  14:00:00,12.53639711
 01/03  15:00:00,12.64001569
 01/03  16:00:00,12.30593275
 01/03  17:00:00,13.08822794
 01/03  18:00:00,10.17686881
 01/03  19:00:00,8.508484603
 01/03  20:00:00,8.496961991
 01/03  21:00:00,7.946957885
 01/03  22:00:00,7.513885231
 01/03  23:00:00,5.50609361
 01/03  24:00:00,5.231078646
 01/04  01:00:00,4.798024131
 01/04  02:00:00,5.23110151
 01/04  03:00:00,5.231089555
 01/04  04:00:00,4.798024131
 01/04  05:00:00,5.231077572
 01/04  06:00:00,5.073026812
 01/04  07:00:00,7.827404935
 01/04  08:00:00,8.279036048
 01/04  09:00:00,12.26945816
 01/04  10:00:00,12.2769941
 01/04  11:00:00,12.37839965
 01/04  12:00:00,12.46576385
 01/04  13:00:00,11.89135666
 01/04  14:00:00,12.58628517
 01/04  15:00:00,12.68504345
 01/04  16:00:00,12.6740242
 01/04  17:00:00,12.94068197
 01/04  18:00:00,10.17929006
 01/04  19:00:00,8.540175103
 01/04  20:00:00,8.063890593
 01/04  21:00:00,7.946961807
 01/04  22:00:00,7.946975315
 01/04  23:00:00,5.073026812
 01/04  24:00:00,5.231101221
 01/05  01:00:00,5.231089276
 01/05  02:00:00,4.798024131
 01/05  03:00:00,5.231077306
 01/05  04:00:00,5.231100196
 01/05  05:00:00,4.798024131
 01/05  06:00:00,5.506098027
 01/05  07:00:00,8.006077203
