date,load
 01/01  01:00:00,1.711433053
 01/01  02:00:00,1.865236643
 01/01  03:00:00,2.085087279
 01/01  04:00:00,2.287199771
 01/01  05:00:00,2.472108605
 01/01  06:00:00,2.847599681
 01/01  07:00:00,4.250511485
 01/01  08:00:00,3.829087183
 01/01  09:00:00,3.338615643
 01/01  10:00:00,2.765630188
 01/01  11:00:00,2.684965987
 01/01  12:00:00,1.820818307
 01/01  13:00:00,1.605807829
 01/01  14:00:00,1.52585604
 01/01  15:00:00,1.471395137
 01/01  16:00:00,1.537927215
 01/01  17:00:00,1.835267845
 01/01  18:00:00,2.389768452
 01/01  19:00:00,2.791176927
 01/01  20:00:00,2.770078232
 01/01  21:00:00,2.575870466
 01/01  22:00:00,2.342996545
 01/01  23:00:00,1.915335002
 01/01  24:00:00,1.674853204
 01/02  01:00:00,1.674755512
 01/02  02:00:00,1.841032278
 01/02  03:00:00,2.100426204
 01/02  04:00:00,2.227773323
 01/02  05:00:00,2.383511056
 01/02  06:00:00,2.644010554
 01/02  07:00:00,3.127035746
 01/02  08:00:00,4.179001196
 01/02  09:00:00,3.398364662
 01/02  10:00:00,3.042286287
 01/02  11:00:00,3.364014479
 01/02  12:00:00,2.635254577
 01/02  13:00:00,2.319578166
 01/02  14:00:00,2.223250462
 01/02  15:00:00,2.076790534
 01/02  16:00:00,2.187083899
 01/02  17:00:00,2.403814189
 01/02  18:00:00,3.319267643
 01/02  19:00:00,2.992071955
 01/02  20:00:00,2.823314318
 01/02  21:00:00,2.681687489
 01/02  22:00:00,2.591407616
 01/02  23:00:00,2.472812728
 01/02  24:00:00,2.416771836
 01/03  01:00:00,2.220687563
 01/03  02:00:00,2.217032546
 01/03  03:00:00,2.176464952
 01/03  04:00:00,2.175444861
 01/03  05:00:00,2.425873152
 01/03  06:00:00,2.672751376
 01/03  07:00:00,3.848592206
 01/03  08:00:00,4.045477445
 01/03  09:00:00,2.721250174
 01/03  10:00:00,1.799615113
 01/03  11:00:00,1.757663652
 01/03  12:00:00,1.598972369
 01/03  13:00:00,1.504589016
 01/03  14:00:00,1.435493968
 01/03  15:00:00,1.389061739
 01/03  16:00:00,1.458268453
 01/03  17:00:00,1.748369439
 01/03  18:00:00,2.29441364
 01/03  19:00:00,2.68005568
 01/03  20:00:00,2.65050437
 01/03  21:00:00,2.460255329
 01/03  22:00:00,2.239513187
 01/03  23:00:00,1.834423066
 01/03  24:00:00,1.549686512
 01/04  01:00:00,1.670706831
 01/04  02:00:00,2.032368946
 01/04  03:00:00,2.548567057
 01/04  04:00:00,2.877458918
 01/04  05:00:00,3.125462658
 01/04  06:00:00,3.572500844
 01/04  07:00:00,4.060504321
 01/04  08:00:00,4.13412408
 01/04  09:00:00,3.458631616
 01/04  10:00:00,2.455420469
 01/04  11:00:00,2.414549244
 01/04  12:00:00,1.602202862
 01/04  13:00:00,1.506879973
 01/04  14:00:00,1.437967108
 01/04  15:00:00,1.392365292
 01/04  16:00:00,1.461110365
 01/04  17:00:00,1.751365015
 01/04  18:00:00,2.298777445
 01/04  19:00:00,2.685447707
 01/04  20:00:00,2.65507655
 01/04  21:00:00,2.463747166
 01/04  22:00:00,2.24302292
 01/04  23:00:00,2.006539556
 01/04  24:00:00,2.089077617
 01/05  01:00:00,2.146146107
 01/05  02:00:00,2.446561106
 01/05  03:00:00,2.72824188
 01/05  04:00:00,2.954123463
 01/05  05:00:00,3.226261534
 01/05  06:00:00,3.567984374
 01/05  07:00:00,4.77845037
 01/05  08:00:00,4.395446384
 01/05  09:00:00,4.093987014
 01/05  10:00:00,3.868000331
 01/05  11:00:00,3.663682577
 01/05  12:00:00,2.427815197
 01/05  13:00:00,2.19492616
 01/05  14:00:00,1.892537043
 01/05  15:00:00,1.88904446
 01/05  16:00:00,2.145974735
 01/05  17:00:00,2.454509174
 01/05  18:00:00,3.620645197
 01/05  19:00:00,3.323418232
 01/05  20:00:00,3.21633949
 01/05  21:00:00,3.237109566
 01/05  22:00:00,3.349572678
 01/05  23:00:00,3.246865977
 01/05  24:00:00,3.149703918
 01/06  01:00:00,3.068675016
 01/06  02:00:00,3.131580876
 01/06  03:00:00,3.246909599
 01/06  04:00:00,3.384257102
 01/06  05:00:00,3.601515469
 01/06  06:00:00,3.779840787
 01/06  07:00:00,4.249029461
 01/06  08:00:00,5.379038246
 01/06  09:00:00,4.484311612
 01/06  10:00:00,4.207068277
 01/06  11:00:00,4.765303793
 01/06  12:00:00,3.514337305
 01/06  13:00:00,3.399103017
 01/06  14:00:00,3.000178219
 01/06  15:00:00,2.908637475
 01/06  16:00:00,3.021793386
 01/06  17:00:00,3.202263658
 01/06  18:00:00,4.177838537
 01/06  19:00:00,3.788182025
 01/06  20:00:00,3.557673614
 01/06  21:00:00,3.369986717
 01/06  22:00:00,3.266349942
 01/06  23:00:00,3.045983821
 01/06  24:00:00,2.869126427
 01/07  01:00:00,2.704386658
 01/07  02:00:00,2.753697709
 01/07  03:00:00,2.835678032
 01/07  04:00:00,2.846955386
 01/07  05:00:00,2.950986854
 01/07  06:00:00,3.190284518
 01/07  07:00:00,3.59723688
 01/07  08:00:00,4.598869475
 01/07  09:00:00,3.843840971
 01/07  10:00:00,3.521965975
 01/07  11:00:00,3.867506389
 01/07  12:00:00,3.196820241
 01/07  13:00:00,2.955366334
 01/07  14:00:00,2.795435628
 01/07  15:00:00,2.66458416
 01/07  16:00:00,2.67219939
 01/07  17:00:00,2.887323717
 01/07  18:00:00,4.059254546
 01/07  19:00:00,3.670016585
 01/07  20:00:00,3.483871251
 01/07  21:00:00,3.373805258
 01/07  22:00:00,3.284765996
 01/07  23:00:00,3.040809849
 01/07  24:00:00,2.832003556
 01/08  01:00:00,2.738637355
 01/08  02:00:00,2.885003159
 01/08  03:00:00,3.238468381
 01/08  04:00:00,3.481234282
 01/08  05:00:00,3.709231427
 01/08  06:00:00,4.196980174
 01/08  07:00:00,5.917599221
 01/08  08:00:00,5.233510337
 01/08  09:00:00,4.296564657
 01/08  10:00:00,3.261874634
 01/08  11:00:00,2.82975779
 01/08  12:00:00,1.71903826
 01/08  13:00:00,1.610202067
 01/08  14:00:00,1.529596161
 01/08  15:00:00,1.475130392
 01/08  16:00:00,1.541561392
