Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
0:30,1.709,1.799,1.770,1.670,1.721,1.708,1.719,1.791,1.773,1.933,2.015,1.873,2.545,2.594,2.552
1:00,1.712,1.791,1.767,1.653,1.688,1.671,1.725,1.779,1.762,1.993,2.097,1.971,2.849,2.884,2.857
1:30,1.798,1.869,1.819,1.660,1.688,1.656,1.786,1.831,1.805,2.156,2.246,1.978,2.855,2.879,2.857
2:00,1.910,1.991,1.950,1.677,1.703,1.685,1.831,1.899,1.813,2.410,2.530,2.443,2.821,2.830,2.807
2:30,1.940,2.033,1.973,1.674,1.694,1.684,1.838,1.933,1.956,2.443,2.530,2.347,2.866,2.759,2.863
3:00,1.946,2.038,1.977,1.683,1.690,1.692,1.833,1.825,1.896,2.435,2.490,2.465,2.881,2.783,2.855
3:30,1.970,1.985,2.005,1.678,1.686,1.688,1.830,1.952,1.891,2.471,2.513,2.553,2.785,2.685,2.778
4:00,1.930,1.935,1.951,1.671,1.673,1.666,1.832,1.832,1.842,2.437,2.490,2.482,2.710,2.595,2.688
4:30,1.893,1.897,1.930,1.654,1.638,1.647,1.705,1.758,1.785,2.387,2.371,2.509,2.643,2.554,2.637
5:00,1.899,1.914,1.945,1.681,1.686,1.680,1.752,1.890,1.789,2.358,2.369,2.464,2.600,2.522,2.594
5:30,1.943,1.966,1.970,1.711,1.719,1.692,1.673,1.811,1.784,2.351,2.367,2.337,2.642,2.558,2.601
6:00,2.010,2.020,1.982,1.795,1.793,1.729,1.745,1.820,1.793,2.373,2.364,2.270,2.695,2.608,2.598
6:30,2.225,2.218,2.042,1.931,1.953,1.716,1.977,2.002,1.806,2.503,2.506,2.351,2.879,2.725,2.637
7:00,2.505,2.430,2.112,2.168,2.105,1.789,2.276,2.208,1.895,2.728,2.617,2.539,3.147,2.932,2.704
7:30,2.858,2.674,2.124,2.551,2.359,1.896,2.756,2.523,1.979,3.089,2.741,2.404,3.369,2.980,2.630
8:00,3.172,2.773,2.121,2.900,2.529,1.952,2.979,2.647,2.009,3.425,2.953,2.535,3.697,3.064,2.489
8:30,3.496,2.871,2.106,3.184,2.759,1.972,3.374,2.804,2.009,3.746,3.099,2.445,4.196,3.273,2.503
